[caa-fingerprint] [dns] [info] pdclpcrp58.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp82.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp65.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp67.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp42.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp74.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp71.fisglobal.com
"[nameserver-fingerprint] [dns] [info] qr.fisglobal.com [""ns-125.awsdns-15.com."",""ns-1390.awsdns-45.org."",""ns-1775.awsdns-29.co.uk."",""ns-968.awsdns-57.net.""]"
[caa-fingerprint] [dns] [info] pdclpcrp45.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp47.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp44.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp50.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp49.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp51.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrpcto07.fisglobal.com
[caa-fingerprint] [dns] [info] phxcrprp03.fisglobal.com
[caa-fingerprint] [dns] [info] pennmutual-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] pennmutual-scm.fisglobal.com
[caa-fingerprint] [dns] [info] phxdbtrp01.fisglobal.com
[caa-fingerprint] [dns] [info] portal.fisglobal.com
[caa-fingerprint] [dns] [info] phxdbtrp02.fisglobal.com
[caa-fingerprint] [dns] [info] phxdbtrp04.fisglobal.com
[caa-fingerprint] [dns] [info] pics.fisglobal.com
[caa-fingerprint] [dns] [info] pki.fisglobal.com
[caa-fingerprint] [dns] [info] pjrobb-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] pjrobb-scm.fisglobal.com
[caa-fingerprint] [dns] [info] pnc-scm.fisglobal.com
[caa-fingerprint] [dns] [info] portal-globaltrading.fisglobal.com
[caa-fingerprint] [dns] [info] popular-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] pnc-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] polaris.fisglobal.com
[caa-fingerprint] [dns] [info] popular-scm.fisglobal.com
[caa-fingerprint] [dns] [info] portal.ssb.fisglobal.com
[caa-fingerprint] [dns] [info] principal-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] pp-apt-enterprise.fisglobal.com
[caa-fingerprint] [dns] [info] pp-apt2-enterprise.fisglobal.com
[caa-fingerprint] [dns] [info] pp-tarra-taservices.fisglobal.com
[caa-fingerprint] [dns] [info] ppau-datanavigator-uat.fisglobal.com
[caa-fingerprint] [dns] [info] ppau-datanavigator.fisglobal.com
[caa-fingerprint] [dns] [info] proxy0-r8-mub-uat-rids.fisglobal.com
[caa-fingerprint] [dns] [info] prod-are.fisglobal.com
[caa-fingerprint] [dns] [info] proxy1-r8.remitpoint.fisglobal.com
[caa-fingerprint] [dns] [info] proxy0-r8-mub-rids.fisglobal.com
